City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.77,89,98,15.09,TF,1738272343
1,waitangi,-43.9535,-176.5597,16.57,77,11,3.58,NZ,1738272344
2,dunedin,-45.8742,170.5036,16.56,65,84,1.79,NZ,1738272345
3,ke-macina,13.9623,-5.3572,25.61,12,37,4.64,ML,1738272346
4,puerto ayora,-0.7393,-90.3518,26.42,92,40,2.24,EC,1738272349
5,san antonio de pale,-1.4014,5.6325,27.2,79,100,2.37,GQ,1738272350
6,blackmans bay,-43.0167,147.3167,14.07,78,88,0.45,AU,1738272351
7,west island,-12.1568,96.8225,26.99,89,75,4.12,CC,1738272353
8,haiku-pauwela,20.9219,-156.3051,26.76,75,75,13.89,US,1738272354
9,tazacorte,28.629,-17.9293,17.54,73,75,7.2,ES,1738272355
10,khovd,48.0056,91.6419,-18.84,79,68,1.21,MN,1738272356
11,hizan,38.2257,42.4278,-1.16,44,0,3.37,TR,1738272359
12,harper,4.375,-7.7169,26.77,84,5,3.3,LR,1738272360
13,new norfolk,-42.7826,147.0587,14.4,77,49,1.29,AU,1738272361
14,hamilton,39.1834,-84.5333,9.1,56,100,3.09,US,1738272362
15,puerto natales,-51.7236,-72.4875,15.25,47,75,8.23,CL,1738272363
16,chonchi,-42.6128,-73.8092,20.76,54,17,4.27,CL,1738272365
17,st. john's,47.5649,-52.7093,-3.35,91,100,8.75,CA,1738272366
18,dakhla,23.6848,-15.958,18.01,72,0,15.95,EH,1738271937
19,san luis de la loma,17.2706,-100.8939,29.82,55,0,4.63,MX,1738272368
20,esquel,-42.9,-71.3167,27.65,14,0,7.01,AR,1738272369
21,coquimbo,-29.9533,-71.3436,19.85,72,20,6.17,CL,1738272371
22,lianshan,40.7643,120.8533,-14.2,81,35,2.27,CN,1738272372
23,pushkinskiye gory,57.0209,28.9103,5.46,72,91,5.46,RU,1738272373
24,koraput,18.8167,82.7167,16.79,80,2,1.77,IN,1738272375
25,ushuaia,-54.8,-68.3,11.81,62,40,13.89,AR,1738272301
26,grytviken,-54.2811,-36.5092,5.13,74,37,8.31,GS,1738272377
27,whitehorse,60.7161,-135.0538,-19.99,70,100,5.14,CA,1738272203
28,bilibino,68.0546,166.4372,-39.84,99,91,0.35,RU,1738272380
29,carnarvon,-24.8667,113.6333,27.45,75,7,4.34,AU,1738272381
30,college,64.8569,-147.8028,-27.74,73,40,1.54,US,1738272382
31,vilyuchinsk,52.9306,158.4028,-2.85,81,100,3.69,RU,1738272383
32,edinburgh of the seven seas,-37.0676,-12.3116,14.58,60,20,2.31,SH,1738272385
33,wenchang,30.904,118.4887,10.31,50,100,0.67,CN,1738272386
34,adamstown,-25.066,-130.1015,25.26,66,28,5.75,PN,1738272387
35,okha,53.5739,142.9478,-12.83,96,100,5.91,RU,1738272388
36,ust-nera,64.5667,143.2,-39.75,99,67,1.04,RU,1738272389
37,karagandy,49.8019,73.1021,-12.03,99,100,1.58,KZ,1738272391
38,albany,42.6001,-73.9662,-2.42,49,86,0.89,US,1738272392
39,geraldton,-28.7667,114.6,21.23,94,75,2.06,AU,1738272393
40,jamestown,42.097,-79.2353,3.56,59,0,5.14,US,1738272394
41,tura,25.5198,90.2201,15.03,92,100,1.8,IN,1738272396
42,tyup,42.7276,78.3648,-7.44,91,100,2.85,KG,1738272397
43,annau,37.8876,58.516,1.72,93,100,3.09,TM,1738272398
44,kaitong,44.8135,123.15,-23.28,95,12,1.71,CN,1738272399
45,hasaki,35.7333,140.8333,5.8,42,3,7.28,JP,1738272400
46,balqash,46.8481,74.995,-6.3,96,100,4.72,KZ,1738272402
47,iqaluit,63.7506,-68.5145,-20.73,70,100,10.8,CA,1738272403
48,huarmey,-10.0681,-78.1522,24.0,76,74,5.03,PE,1738272404
49,enewetak,11.3474,162.3373,26.82,76,58,7.87,MH,1738272405
50,tarko-sale,64.9225,77.785,-28.43,98,33,3.62,RU,1738272406
51,tarata,-17.6167,-66.0167,17.68,56,80,3.02,BO,1738272408
52,invercargill,-46.4,168.35,17.79,72,100,1.79,NZ,1738272410
53,vernal,40.4555,-109.5287,2.59,47,0,1.79,US,1738272411
54,port saint john's,-31.6229,29.5448,24.37,92,2,5.49,ZA,1738272413
55,viedma,-40.8135,-62.9967,35.12,12,0,10.43,AR,1738272414
56,zafarwal,32.3463,74.8999,11.68,33,19,1.51,PK,1738272415
57,bethel,41.3712,-73.414,0.52,45,5,1.34,US,1738272416
58,shimoda,34.6667,138.95,4.73,64,57,2.8,JP,1738272417
59,chui,-33.6971,-53.4616,23.71,65,0,5.34,UY,1738272419
60,ilulissat,69.2167,-51.1,-5.99,33,100,7.72,GL,1738272420
61,yemva,62.59,50.8594,-1.59,96,100,3.27,RU,1738272421
62,utrik,11.2278,169.8474,26.28,69,95,6.22,MH,1738272422
63,vernon,50.2581,-119.2691,1.91,62,100,1.54,CA,1738272423
64,jiwani,25.05,61.7417,20.51,43,0,1.81,PK,1738272425
65,tralee,52.2704,-9.7026,8.23,96,100,3.45,IE,1738272426
66,tsiombe,-25.3,45.4833,24.83,88,31,3.51,MG,1738272427
67,rapar,23.5667,70.6333,19.14,45,6,4.14,IN,1738272428
68,axim,4.8699,-2.2405,26.45,86,7,2.95,GH,1738272429
69,isafjordur,66.0755,-23.124,-0.63,84,100,10.81,IS,1738272430
70,kingston,17.997,-76.7936,30.53,58,20,9.77,JM,1738272404
71,amga,60.8953,131.9608,-41.06,100,100,0.68,RU,1738272433
72,dudinka,69.4058,86.1778,-23.4,97,100,6.54,RU,1738272318
73,wailua homesteads,22.0669,-159.378,24.51,88,100,7.72,US,1738272435
74,merizo village,13.2658,144.6691,26.66,80,100,10.01,GU,1738272436
75,gadzhiyevo,69.2551,33.3362,-0.47,91,100,11.45,RU,1738272438
76,port elizabeth,-33.918,25.5701,21.29,95,54,1.34,ZA,1738272440
77,ribeira grande,38.5167,-28.7,18.22,82,75,7.2,PT,1738272441
78,punta arenas,-53.15,-70.9167,13.06,54,0,12.35,CL,1738272443
79,avarua,-21.2078,-159.775,29.03,79,100,6.17,CK,1738272444
80,port blair,11.6667,92.75,26.02,78,40,1.03,IN,1738272445
81,caravaca,38.1056,-1.8634,6.46,55,38,7.39,ES,1738272446
82,longyearbyen,78.2186,15.6401,-0.09,80,75,8.23,SJ,1738272447
83,banda aceh,5.5577,95.3222,24.52,81,3,3.55,ID,1738272449
84,lodja,-3.4833,23.4333,21.7,92,100,1.04,CD,1738272450
85,nova vicosa,-17.8919,-39.3719,26.18,78,17,5.05,BR,1738272451
86,port lincoln,-34.7333,135.8667,17.49,76,4,6.16,AU,1738272400
87,touros,-5.1989,-35.4608,27.29,72,18,5.35,BR,1738272454
88,egilsstadir,65.2653,-14.3948,2.95,70,75,3.6,IS,1738272455
89,rikaze,29.25,88.8833,-1.52,20,0,2.1,CN,1738272457
90,hami,42.8,93.45,-6.08,51,74,1.72,CN,1738272458
91,almeirim,-1.5233,-52.5817,25.89,92,99,1.59,BR,1738272459
92,mount pleasant,32.7941,-79.8626,19.08,62,0,4.63,US,1738272461
93,rio grande,-32.035,-52.0986,23.36,73,25,6.72,BR,1738272462
94,palmer,42.1584,-72.3287,-2.25,39,20,3.6,US,1738272335
95,kalmunai,7.4167,81.8167,24.87,89,49,1.1,LK,1738272464
96,hawaiian paradise park,19.5933,-154.9731,27.72,85,40,8.23,US,1738272466
97,mukalla,14.5425,49.1242,21.68,69,44,1.4,YE,1738272467
98,acarau,-2.8856,-40.12,26.79,79,73,5.05,BR,1738272468
99,ialysos,36.4104,28.1655,13.85,78,40,5.66,GR,1738272469
100,tamanrasset,22.785,5.5228,12.95,21,0,4.12,DZ,1738272470
101,broken hill,-31.95,141.4333,16.95,36,0,6.49,AU,1738272346
102,shijiang,27.0819,110.7933,10.23,89,100,2.88,CN,1738272473
103,vieux-habitants,16.0589,-61.7659,27.01,70,1,5.18,GP,1738272474
104,alaghsas,17.0187,8.0168,19.46,18,88,5.8,NE,1738272475
105,margaret river,-33.95,115.0667,15.78,89,4,3.44,AU,1738272190
106,tiksi,71.6872,128.8694,-25.84,98,100,2.33,RU,1738272479
107,tete,-16.1564,33.5867,23.13,95,26,0.9,MZ,1738272480
108,carutapera,-1.195,-46.02,25.12,93,99,3.28,BR,1738272481
109,keflavik,64.0049,-22.5624,1.24,80,75,5.66,IS,1738272482
110,dryden,49.7833,-92.7503,-1.84,74,100,2.06,CA,1738272484
111,kapa'a,22.0752,-159.319,25.26,88,100,7.72,US,1738272485
112,grand-popo,6.2804,1.8225,27.61,78,33,4.11,BJ,1738272486
113,al minya,28.1099,30.7503,15.06,54,60,5.55,EG,1738272487
114,tindouf,27.6711,-8.1474,16.25,33,0,9.77,DZ,1738272489
115,anadyr,64.75,177.4833,-17.72,78,75,5.0,RU,1738272490
116,happy valley-goose bay,53.3168,-60.3315,-19.83,59,100,6.69,CA,1738272491
117,la ronge,55.1001,-105.2842,-21.86,59,20,2.06,CA,1738272492
118,saint-philippe,-21.3585,55.7679,27.42,83,92,4.36,RE,1738272494
119,hithadhoo,-0.6,73.0833,27.85,75,100,6.69,MV,1738272495
120,papatowai,-46.5619,169.4708,16.35,57,98,0.6,NZ,1738272496
121,aripuana,-9.1667,-60.6333,24.25,98,100,0.53,BR,1738272497
122,el granada,37.5027,-122.4694,12.79,70,100,2.57,US,1738272499
123,nema,57.5067,50.5011,-0.23,97,100,2.93,RU,1738272500
124,lebu,-37.6167,-73.65,17.97,72,3,3.81,CL,1738272501
125,shenjiamen,29.9576,122.298,11.23,84,33,6.43,CN,1738272502
126,hermanus,-34.4187,19.2345,21.0,79,4,5.8,ZA,1738272504
127,gorom-gorom,14.4439,-0.2361,24.63,12,93,4.03,BF,1738272505
128,laracha,43.2537,-8.5854,8.22,84,20,1.54,ES,1738272506
